,month,python,hadoop,r,matlab
0,2009-01-01,631,1,8,19
1,2009-02-01,633,1,9,27
2,2009-03-01,766,1,4,24
3,2009-04-01,768,6,12,32
4,2009-05-01,1003,3,2,42
5,2009-06-01,1046,4,5,44
6,2009-07-01,1165,8,51,39
7,2009-08-01,1143,7,47,34
8,2009-09-01,1169,11,139,51
9,2009-10-01,1424,6,73,71
10,2009-11-01,1562,8,94,117
11,2009-12-01,1552,14,80,99
12,2010-01-01,1952,20,94,99
13,2010-02-01,1872,9,122,111
14,2010-03-01,2076,30,140,123
15,2010-04-01,1817,17,160,187
16,2010-05-01,2017,23,139,207
17,2010-06-01,2214,34,178,146
18,2010-07-01,2607,39,235,152
19,2010-08-01,2498,35,283,140
20,2010-09-01,2254,25,236,165
21,2010-10-01,2671,20,214,163
22,2010-11-01,2619,34,244,156
23,2010-12-01,2441,34,221,173
24,2011-01-01,2913,67,251,177
25,2011-02-01,3024,61,322,292
26,2011-03-01,3763,76,423,431
27,2011-04-01,3359,69,476,382
28,2011-05-01,3538,60,428,306
29,2011-06-01,3485,91,444,313
30,2011-07-01,3688,81,454,286
31,2011-08-01,3849,89,587,258
32,2011-09-01,3526,101,613,267
33,2011-10-01,3639,106,623,401
34,2011-11-01,3889,116,609,433
35,2011-12-01,3555,142,608,388
36,2012-01-01,4232,147,691,461
37,2012-02-01,4517,166,815,558
38,2012-03-01,5073,177,892,579
39,2012-04-01,4948,209,849,624
40,2012-05-01,5133,215,882,542
41,2012-06-01,5295,272,975,525
42,2012-07-01,5751,296,1125,561
43,2012-08-01,5882,214,1093,599
44,2012-09-01,5273,241,1061,553
45,2012-10-01,6154,278,1270,755
46,2012-11-01,6408,265,1348,848
47,2012-12-01,5636,231,1194,663
48,2013-01-01,6605,335,1515,728
49,2013-02-01,6793,287,1678,817
50,2013-03-01,7680,374,1858,1000
51,2013-04-01,7975,419,1849,1060
52,2013-05-01,7862,382,1795,1025
53,2013-06-01,7640,408,1785,906
54,2013-07-01,8656,432,1980,997
55,2013-08-01,7974,408,1930,915
56,2013-09-01,7999,455,1723,899
57,2013-10-01,9539,488,2108,1117
58,2013-11-01,9546,480,2194,1211
59,2013-12-01,8306,437,1869,1037
60,2014-01-01,9892,441,2366,1122
61,2014-02-01,9951,517,2624,1244
62,2014-03-01,11483,545,2830,1433
63,2014-04-01,10839,584,2748,1421
64,2014-05-01,9330,516,2603,1264
65,2014-06-01,8967,539,2407,1036
66,2014-07-01,9999,530,2654,1114
67,2014-08-01,9170,481,2490,928
68,2014-09-01,8829,517,2385,1077
69,2014-10-01,9651,514,2796,1238
70,2014-11-01,9652,557,2727,1245
71,2014-12-01,8886,475,2315,996
72,2015-01-01,9757,528,2717,1019
73,2015-02-01,10264,597,2984,1196
74,2015-03-01,11685,600,3581,1393
75,2015-04-01,11522,654,3341,1535
76,2015-05-01,11286,638,3440,1405
77,2015-06-01,11887,647,3448,1227
78,2015-07-01,12392,693,3999,1132
79,2015-08-01,11296,621,3509,1027
80,2015-09-01,11040,605,3349,942
81,2015-10-01,12578,615,3704,1062
82,2015-11-01,12384,584,3556,1126
83,2015-12-01,11446,578,3129,864
84,2016-01-01,12439,567,3561,937
85,2016-02-01,13334,548,3621,1082
86,2016-03-01,14173,579,4075,1248
87,2016-04-01,13775,629,4167,1127
88,2016-05-01,13207,589,3822,1145
89,2016-06-01,13009,650,3884,1001
90,2016-07-01,12943,553,3768,905
91,2016-08-01,13006,589,3804,941
92,2016-09-01,12424,494,3318,852
93,2016-10-01,13616,537,3808,901
94,2016-11-01,14296,496,3585,786
95,2016-12-01,12889,448,3136,718
96,2017-01-01,14388,483,3519,796
97,2017-02-01,14901,537,3706,854
98,2017-03-01,17280,602,4637,1080
99,2017-04-01,15752,537,4280,959
100,2017-05-01,16291,493,4349,1005
101,2017-06-01,16173,477,4490,804
102,2017-07-01,17064,437,4611,736
103,2017-08-01,17472,467,5051,776
104,2017-09-01,16949,385,4641,662
105,2017-10-01,18735,378,5053,848
106,2017-11-01,18935,388,5117,875
107,2017-12-01,16207,345,4022,583
108,2018-01-01,16307,362,4209,577
109,2018-02-01,16393,374,4517,537
110,2018-03-01,17970,396,5112,563
111,2018-04-01,17030,357,4746,605
112,2018-05-01,17639,322,4738,529
113,2018-06-01,16860,276,4508,458
114,2018-07-01,17988,286,4417,463
115,2018-08-01,17874,283,4141,404
116,2018-09-01,16158,258,3809,431
117,2018-10-01,18329,265,4394,519
118,2018-11-01,18215,233,4278,500
119,2018-12-01,15537,183,3392,413
120,2019-01-01,17167,194,3997,410
121,2019-02-01,17749,210,4301,364
122,2019-03-01,20144,216,4552,458
123,2019-04-01,20054,168,4660,492
124,2019-05-01,19128,185,4359,462
125,2019-06-01,17515,160,4005,365
126,2019-07-01,20041,178,4265,386
127,2019-08-01,20257,216,4486,371
128,2019-09-01,19207,207,4474,362
129,2019-10-01,23414,260,5138,523
130,2019-11-01,23602,212,4883,479
131,2019-12-01,20058,157,4150,349
